id,japanese,english
1,彼は私より上手に歌います。,He sings better than I.
2,あなたのペンは私のより良い。,Your pen is better than mine.
3,彼はチームで一番の選手です。,He is the best player in the team.
4,あなたはどの季節が一番好きですか。,Which season do you like the best?
5,この本はあの本ほど面白くありません。,This book isn't as interesting as that one.
6,誰がクラスで一番速く走りますか。,Who runs the fastest in your class?
7,どちらのバッグがより重いですか。,Which bag is heavier?
8,あの山はこの山よりずっと高いです。,That mountain is much higher than this one.
9,彼は私よりたくさんの本を持っています。,He has more books than I.
10,私は全ての果物の中でリンゴが一番好きです。,I like apples best of all fruits.
