id,japanese,english
1,私はあなたほど忙しくありません。,I am not as busy as you.
2,彼は私ほど速く泳げません。,He can't swim as fast as I.
3,彼女は世界で最も有名な歌手の一人です。,She is one of the most famous singers in the world.
4,サッカーは日本で最も人気のあるスポーツの一つです。,Soccer is one of the most popular sports in Japan.
5,彼は４人の中で一番背が高い。,He is the tallest of the four.
6,カナダは中国よりずっと大きいです。,Canada is a little larger than China.
7,信濃川は日本で一番長い川です。,The Shinano is the longest river in Japan.
8,あなたは私ほど若くありません。,You are not as young as I.
9,彼は世界で最も優れた科学者の一人です。,He is one of the best scientists in the world.
10,この冬は去年ほど寒くありません。,This winter is not as cold as last year.
