id,japanese,english
1,彼女が作ったクッキーは美味しかったです。,The cookies which she made were delicious.
2,これは私が最も好きな歌です。,This is the song that I like the best.
3,あなたが話しているその男の子は私のクラスメイトです。,The boy which you are talking to is my classmate.
4,私たちが先週見た映画は感動的でした。,The movie which we saw last week was moving.
5,彼が書いた手紙はまだ届いていません。,The letter that he wrote has not arrived yet.
6,あなたが昨日会った女性は誰ですか。,Who is the woman you met yesterday?
7,彼女が愛している犬はとても小さいです。,The dog that she loves is very small.
8,これは私があなたに見せたかった場所です。,This is the place I wanted to show you.
9,私は彼らが話していた男性を知っています。,I know the man that they were talking about.
10,彼は私が持っている辞書を使いました。,He used the dictionary which I have.
