id,japanese,english
1,彼の話は私たちをいつもわくわくさせます。,His stories always make us excited.
2,部屋をあたたかくしておいた方がいいですよ。,You should keep your room warm.
3,私の友達は私をサチと呼びます。,My friends call me Sachi.
4,私はその壁を青色に塗ることに決めました。,I decided to paint the wall blue.
5,私たちはその問題がとても難しいとわかりました。,We found the question very difficult.
6,私はそのネコをシロと名づけるつもりです。,I will name the cat Shiro.
7,その知らせは私たちを悲しませました。,The news made us sad.
8,あなたの両親はあなたをクミと呼ぶのですか。,Do your parents call you Kumi?
9,窓を開けたままにしてはいけません。,Don’t leave the windows open.
10,あなたはこれが重要であるとわかるでしょう。,You will find this important.
