id,japanese,english
1,彼は私に本をくれた。,He gave me a book.
2,私は友だちにプレゼントを買いました。,I bought a present for my friend.
3,私は先生に質問をしました。,I asked my teacher a question.
4,友だちにこの写真を見せてあげて。,Show this picture to your friend.
5,彼女は私たちにその理由を教えてくれました。,She told us the reason.
6,母は弟に昼ごはんを作ってあげました。,My mother cooked lunch for my brother.
7,父は私に自転車をくれるでしょう。,My father will give me a bike.
8,私は彼女に花を送りました。,I sent her some flowers.
9,彼は友だちにCDを貸しました。,He lent a CD to his friend.
10,彼女は弟にケーキを作りました。,She made her brother a cake.
