id,japanese,english
1,私が昨日買った本はとても面白かったです。,The book which I bought yesterday was very interesting.
2,これは彼女が欲しがっていた人形です。,This is the doll that she wanted.
3,彼らが話していた男性は有名な俳優です。,The man that they were talking about is a famous actor.
4,これは私が毎日聞く音楽です。,This is the music which I listen to every day.
5,私たちが先週末訪れた場所はきれいでした。,The place that we visited last weekend was clean.
6,あなたが今見ている建物はとても古いです。,The building which you are looking at now is very old.
7,これは彼が私にくれたプレゼントです。,This is the present that he gave me.
8,彼が昨日食べたケーキはとても甘かったです。,The cake that he ate yesterday was very sweet.
9,あなたが探している鍵は見つかりましたか。,Did you find the key that you are looking for?
10,私がパーティーで会った女性は親切でした。,The woman that I met at the party was kind.
