id,japanese,english
1,私が最も尊敬している人は私の父です。,The person I respect the most is my father.
2,あなたが住んでいる街はどんなところですか。,What is the town you live in like?
3,彼が買ったシャツはとても高かったです。,The shirt he bought was very expensive.
4,彼女は彼が会いたがっていた女の子です。,She is the girl that he wanted to meet.
5,私たちが話している問題は重要です。,The problem we are talking about is important.
6,彼女が連れてきた猫はとても静かです。,The cat that she brought is very quiet.
7,これは私があなたに見せたかった場所です。,This is the place I wanted to show you.
8,彼が毎日使うペンは新しいものです。,The pen which he uses every day is new.
9,彼女が私たちに教えてくれた話は面白かったです。,The story she told us was interesting.
10,私たちが応援しているチームは強くなるでしょう。,The team we support will become strong.
