id,japanese,english
1,私の母が焼いたケーキはとてもおいしかったです。,The cake which was baked by my mother was very delicious.
2,あれは長い歴史を持っている古い寺です。,That is an old temple that has a long history.
3,私は新しいアイデアを出すことができる学生が好きです。,I like students who can come up with new ideas.
4,窓のそばに立っている女性は誰ですか。,Who is the woman that is standing by the window?
5,これは多くの人に愛されている有名な絵です。,This is a famous painting which is loved by many people.
6,私たちは私たちを笑わせる物語が好きです。,We like stories that make us laugh.
7,その公園で遊んでいる子供たちはとても元気です。,The children who are playing in the park are very cheerful.
8,私はいつも親切な先生になりたいです。,I want to be a teacher who is always kind.
9,あの時あなたを呼んだ人は誰ですか。,Who was the person that called you then?
10,その門の前にある車は新しいです。,The car which is in front of the gate is new.
