id,japanese,english
1,私は友だちにメールを書くつもりです。,I will write an email to my friend.
2,彼女は私にその場所への行き方を教えてくれます。,She tells me the way to the place.
3,母に花を買ってあげて。,Buy flowers for your mother.
4,先生は生徒たちに宿題を出しました。,The teacher gave homework to the students.
5,父は私に時計を買ってくれました。,My father bought me a watch.
6,私は妹に英語を教えてあげました。,I taught English to my sister.
7,私にその本を見せて。,Show me the book.
8,彼は父に手紙を書いています。,He writes a letter to his father.
9,母は私にコートを買ってくれました。,My mother bought me a coat.
10,私は弟に英語を教えるつもりです。,I will teach English to my brother.

