id,japanese,english
1,私は兄と同じくらい早く起きる。,I get up as early as my brother.
2,このカバンはあのカバンよりも少し重い。,This bag is a little heavier than that one.
3,テニスはすべてのスポーツの中で一番おもしろい。,Tennis is the most interesting of all sports.
4,彼女はクラスの他のどの生徒よりも上手に英語を話す。,She speaks English better than any other student in her class.
5,私の弟は私ほど速く走ることができない。,My brother cannot run as fast as I.
6,彼は私たちのチームで最も背の高い選手の一人だ。,He is one of the tallest players in our team.
7,この赤い花はあの黄色いものよりずっと美しい。,This red flower is much more beautiful than that yellow one.
8,あなたは私よりずっと幸せそうに見える。,You look much happier than I.
9,富士山は日本で一番高い山だ。,Mt. Fuji is the highest mountain in Japan.
10,この本は3冊の中で一番役に立つ。,This book is the most useful of the three.
11,今日は昨日と同じくらい暑い。,Today is as hot as yesterday.
12,中国は日本よりもずっと大きい。,China is much larger than Japan.
13,彼は世界で最も有名な作家の一人です。,He is one of the most famous writers in the world.
14,北海道は日本の他のどの場所よりも広い。,Hokkaido is larger than any other place in Japan.
15,トムは5人の中で一番若く見える。,Tom looks the youngest of the five.
16,私のカメラはあなたのものほど新しくない。,My camera is not as new as yours.
17,彼女は私よりも少しゆっくり歩く。,She walks a little more slowly than I.
18,健康は他のどんなものよりも大切だ。,Health is more important than any other thing.
19,この物語はあの物語と同じくらい有名だ。,This story is as famous as that one.
20,彼はすべての少年の中で一番熱心に勉強する。,He studies the hardest of all boys.
