id,japanese,english
1,彼は私たち全員の中で一番速く起きた。,He got up the earliest of us all.
2,この本はあの本より少し難しい。,This book is a little more difficult than that one.
3,彼はクラスの他のどの少年よりも速く走ります。,He runs faster than any other boy in his class.
4,あの少年はケンほど泳ぐのがうまくない。,That boy doesn't swim as well as Ken.
5,この映画はあの映画よりずっと面白い。,This movie is much more interesting than that one.
6,彼は私より少し早く起きました。,He got up a little earlier than I.
7,彼女はクラスの他のどの生徒よりも一生懸命勉強します。,She studies harder than any other student in her class.
8,この辞書はあの辞書よりずっと役に立ちます。,This dictionary is much more useful than that one.
9,私の母は父より少し若いです。,My mother is a little younger than my father.
10,彼は世界で最も裕福な男の一人です。,He is one of the richest men in the world.
