id,japanese,english
1,祖母は私に古い本をくれました。,My grandmother gave me an old book.
2,彼らはその壁をピンクに塗りました。,They painted the wall pink.
3,私はそのおもちゃを娘に買いました。,I bought the toy for my daughter.
4,私は彼に手紙を書き終えました。,I finished writing him a letter.
5,私はその辞書を彼に売りました。,I sold the dictionary to him.
6,彼女は私にプレゼントを買いました。,She bought a present for me.
7,私たちは私たちのネコをタマと名づけた。,We named our cat Tama.
8,彼は私に公園への道を教えました。,He told me the way to the park.
9,彼はその歌を彼女のために歌いました。,He sang the song for her.
10,その知らせは彼を驚かせるでしょう。,The news will make him surprised.
